,Company,Exchange,Symbol,Industry,Date added,Notes,Index weighting,Weight
0,3M,NYSE,MMM,Conglomerate,1976-08-09,As Minnesota Mining and Manufacturing,2.17%,2.17
1,American Express,NYSE,AXP,Financial services,1982-08-30,,4.31%,4.31
2,Amgen,NASDAQ,AMGN,Biopharmaceutical,2020-08-31,,4.14%,4.14
3,Amazon,NASDAQ,AMZN,Retailing,2024-02-26,,2.99%,2.99
4,Apple,NASDAQ,AAPL,Information technology,2015-03-19,,2.92%,2.92
5,Boeing,NYSE,BA,Aerospace and defense,1987-03-12,,3.03%,3.03
6,Caterpillar,NYSE,CAT,Construction and mining,1991-05-06,,5.13%,5.13
7,Chevron,NYSE,CVX,Petroleum industry,2008-02-19,Also 1930-07-18 to 1999-11-01,2.01%,2.01
8,Cisco,NASDAQ,CSCO,Information technology,2009-06-08,,0.92%,0.92
9,Coca-Cola,NYSE,KO,Drink industry,1987-03-12,Also 1932-05-26 to 1935-11-20,1.04%,1.04
10,Disney,NYSE,DIS,Broadcasting and entertainment,1991-05-06,,1.63%,1.63
11,Goldman Sachs,NYSE,GS,Financial services,2013-09-23,,8.79%,8.79
12,Home Depot,NYSE,HD,Home Improvement,1999-11-01,,5.35%,5.35
13,Honeywell,NASDAQ,HON,Conglomerate,2020-08-31,AlliedSignal and Honeywell,3.27%,3.27
14,IBM,NYSE,IBM,Information technology,1979-06-29,Also 1932-05-26 to 1939-03-04,3.77%,3.77
15,Johnson & Johnson,NYSE,JNJ,Pharmaceutical industry,1997-03-17,,2.24%,2.24
16,JPMorgan Chase,NYSE,JPM,Financial services,1991-05-06,,3.83%,3.83
17,McDonald's,NYSE,MCD,Food industry,1985-10-30,,4.57%,4.57
18,Merck,NYSE,MRK,Pharmaceutical industry,1979-06-29,,1.11%,1.11
19,Microsoft,NASDAQ,MSFT,Information technology,1999-11-01,,6.69%,6.69
20,Nike,NYSE,NKE,Clothing industry,2013-09-23,,0.90%,0.90
21,Nvidia,NASDAQ,NVDA,Information technology,2024-11-08,,2.02%,2.02
22,Procter & Gamble,NYSE,PG,Fast-moving consumer goods,1932-05-26,,2.46%,2.46
23,Salesforce,NYSE,CRM,Information technology,2020-08-31,,3.88%,3.88
24,Sherwin-Williams,NYSE,SHW,Specialty chemicals,2024-11-08,,5.19%,5.19
25,"Travelers Companies, Inc.",NYSE,TRV,Insurance,2009-06-08,,3.98%,3.98
26,UnitedHealth Group,NYSE,UNH,Managed health care,2012-09-24,,4.34%,4.34
27,Verizon,NYSE,VZ,Telecommunications industry,2004-04-08,,0.63%,0.63
28,Visa,NYSE,V,Financial services,2013-09-23,,5.28%,5.28
29,Walmart,NASDAQ,WMT,Retailing,1997-03-17,,1.41%,1.41
